date,source,player_name,position,winnings,gender,episode_bankrupts,episode_lose_a_turns,url
2021-09-13,WordPress,Somsack,1,600,Unknown,0.0,4.0,https://andynwof.wordpress.com/2021/09/13/wof-recap-september-13-2021/
2021-09-13,WordPress,Bonnie,2,900,F,0.0,4.0,https://andynwof.wordpress.com/2021/09/13/wof-recap-september-13-2021/
2021-09-13,WordPress,Bonnie,3,700,F,0.0,4.0,https://andynwof.wordpress.com/2021/09/13/wof-recap-september-13-2021/
2021-09-13,WordPress,Allison,4,500,F,0.0,4.0,https://andynwof.wordpress.com/2021/09/13/wof-recap-september-13-2021/
2021-09-13,WordPress,Somsack,5,1,Unknown,0.0,4.0,https://andynwof.wordpress.com/2021/09/13/wof-recap-september-13-2021/
2021-09-13,WordPress,Bonnie,6,1400,F,0.0,4.0,https://andynwof.wordpress.com/2021/09/13/wof-recap-september-13-2021/
2021-09-13,WordPress,Allison,7,1200,F,0.0,4.0,https://andynwof.wordpress.com/2021/09/13/wof-recap-september-13-2021/
2021-09-13,WordPress,Allison,8,14450,F,0.0,4.0,https://andynwof.wordpress.com/2021/09/13/wof-recap-september-13-2021/
2021-09-13,WordPress,Somsack,9,8050,Unknown,0.0,4.0,https://andynwof.wordpress.com/2021/09/13/wof-recap-september-13-2021/
2021-09-13,WordPress,Somsack,10,3600,Unknown,0.0,4.0,https://andynwof.wordpress.com/2021/09/13/wof-recap-september-13-2021/
2021-09-13,WordPress,Allison,11,2700,F,0.0,4.0,https://andynwof.wordpress.com/2021/09/13/wof-recap-september-13-2021/
2021-09-13,WordPress,Allison,12,27575,F,0.0,4.0,https://andynwof.wordpress.com/2021/09/13/wof-recap-september-13-2021/
2021-09-13,WordPress,Somsack,13,8050,Unknown,0.0,4.0,https://andynwof.wordpress.com/2021/09/13/wof-recap-september-13-2021/
2021-09-13,WordPress,Allison,14,42225,F,0.0,4.0,https://andynwof.wordpress.com/2021/09/13/wof-recap-september-13-2021/
2021-09-13,WordPress,Somsack,15,8050,Unknown,0.0,4.0,https://andynwof.wordpress.com/2021/09/13/wof-recap-september-13-2021/
2021-09-14,WordPress,Andre,1,1400,M,3.0,0.0,https://andynwof.wordpress.com/2021/09/14/wof-recap-september-14-2021/
2021-09-14,WordPress,Jason,2,1400,M,3.0,0.0,https://andynwof.wordpress.com/2021/09/14/wof-recap-september-14-2021/
2021-09-14,WordPress,Andre,3,500,M,3.0,0.0,https://andynwof.wordpress.com/2021/09/14/wof-recap-september-14-2021/
2021-09-14,WordPress,Andre,4,4400,M,3.0,0.0,https://andynwof.wordpress.com/2021/09/14/wof-recap-september-14-2021/
2021-09-14,WordPress,Jason,5,2100,M,3.0,0.0,https://andynwof.wordpress.com/2021/09/14/wof-recap-september-14-2021/
2021-09-14,WordPress,Lyndsey,6,3,F,3.0,0.0,https://andynwof.wordpress.com/2021/09/14/wof-recap-september-14-2021/
2021-09-14,WordPress,Jason,7,1200,M,3.0,0.0,https://andynwof.wordpress.com/2021/09/14/wof-recap-september-14-2021/
2021-09-14,WordPress,Lyndsey,8,850,F,3.0,0.0,https://andynwof.wordpress.com/2021/09/14/wof-recap-september-14-2021/
2021-09-14,WordPress,Andre,9,4400,M,3.0,0.0,https://andynwof.wordpress.com/2021/09/14/wof-recap-september-14-2021/
2021-09-14,WordPress,Jason,10,2100,M,3.0,0.0,https://andynwof.wordpress.com/2021/09/14/wof-recap-september-14-2021/
2021-09-14,WordPress,Lyndsey,11,17600,F,3.0,0.0,https://andynwof.wordpress.com/2021/09/14/wof-recap-september-14-2021/
2021-09-14,WordPress,Andre,12,11350,M,3.0,0.0,https://andynwof.wordpress.com/2021/09/14/wof-recap-september-14-2021/
2021-09-14,WordPress,Jason,13,4100,M,3.0,0.0,https://andynwof.wordpress.com/2021/09/14/wof-recap-september-14-2021/
2021-09-14,WordPress,Lyndsey,14,19600,F,3.0,0.0,https://andynwof.wordpress.com/2021/09/14/wof-recap-september-14-2021/
2021-09-15,WordPress,Michelle,1,1400,F,3.0,0.0,https://andynwof.wordpress.com/2021/09/15/wof-recap-september-15-2021/
2021-09-15,WordPress,Darren,2,1,M,3.0,0.0,https://andynwof.wordpress.com/2021/09/15/wof-recap-september-15-2021/
2021-09-15,WordPress,Darren,3,2600,M,3.0,0.0,https://andynwof.wordpress.com/2021/09/15/wof-recap-september-15-2021/
2021-09-15,WordPress,Michelle,4,9700,F,3.0,0.0,https://andynwof.wordpress.com/2021/09/15/wof-recap-september-15-2021/
2021-09-15,WordPress,Darren,5,500,M,3.0,0.0,https://andynwof.wordpress.com/2021/09/15/wof-recap-september-15-2021/
2021-09-15,WordPress,Michelle,6,1400,F,3.0,0.0,https://andynwof.wordpress.com/2021/09/15/wof-recap-september-15-2021/
2021-09-15,WordPress,Darren,7,2600,M,3.0,0.0,https://andynwof.wordpress.com/2021/09/15/wof-recap-september-15-2021/
2021-09-15,WordPress,Michelle,8,20956,F,3.0,0.0,https://andynwof.wordpress.com/2021/09/15/wof-recap-september-15-2021/
2021-09-15,WordPress,Darren,9,7800,M,3.0,0.0,https://andynwof.wordpress.com/2021/09/15/wof-recap-september-15-2021/
2021-09-15,WordPress,Michelle,10,20956,F,3.0,0.0,https://andynwof.wordpress.com/2021/09/15/wof-recap-september-15-2021/
2021-09-16,WordPress,Rob,1,900,M,5.0,2.0,https://andynwof.wordpress.com/2021/09/16/wof-recap-september-16-2021/
2021-09-16,WordPress,Erendida,2,500,Unknown,5.0,2.0,https://andynwof.wordpress.com/2021/09/16/wof-recap-september-16-2021/
2021-09-16,WordPress,Emily,3,2,F,5.0,2.0,https://andynwof.wordpress.com/2021/09/16/wof-recap-september-16-2021/
2021-09-16,WordPress,Emily,4,1500,F,5.0,2.0,https://andynwof.wordpress.com/2021/09/16/wof-recap-september-16-2021/
2021-09-16,WordPress,Erendida,5,3500,Unknown,5.0,2.0,https://andynwof.wordpress.com/2021/09/16/wof-recap-september-16-2021/
2021-09-16,WordPress,Erendida,6,7350,Unknown,5.0,2.0,https://andynwof.wordpress.com/2021/09/16/wof-recap-september-16-2021/
2021-09-16,WordPress,Others,7,2,Unknown,5.0,2.0,https://andynwof.wordpress.com/2021/09/16/wof-recap-september-16-2021/
2021-09-16,WordPress,Emily,8,500,F,5.0,2.0,https://andynwof.wordpress.com/2021/09/16/wof-recap-september-16-2021/
2021-09-16,WordPress,Bank,9,2,Unknown,5.0,2.0,https://andynwof.wordpress.com/2021/09/16/wof-recap-september-16-2021/
2021-09-16,WordPress,Rob,10,2,M,5.0,2.0,https://andynwof.wordpress.com/2021/09/16/wof-recap-september-16-2021/
2021-09-16,WordPress,Erendida,11,7350,Unknown,5.0,2.0,https://andynwof.wordpress.com/2021/09/16/wof-recap-september-16-2021/
2021-09-16,WordPress,Emily,12,9990,F,5.0,2.0,https://andynwof.wordpress.com/2021/09/16/wof-recap-september-16-2021/
2021-09-16,WordPress,Rob,13,6,M,5.0,2.0,https://andynwof.wordpress.com/2021/09/16/wof-recap-september-16-2021/
2021-09-16,WordPress,Erendida,14,15100,Unknown,5.0,2.0,https://andynwof.wordpress.com/2021/09/16/wof-recap-september-16-2021/
2021-09-16,WordPress,Emily,15,11990,F,5.0,2.0,https://andynwof.wordpress.com/2021/09/16/wof-recap-september-16-2021/
2021-09-17,WordPress,Jim,1,700,M,0.0,2.0,https://andynwof.wordpress.com/2021/09/17/wof-recap-september-17-2021/
2021-09-17,WordPress,Jim,2,650,M,0.0,2.0,https://andynwof.wordpress.com/2021/09/17/wof-recap-september-17-2021/
2021-09-17,WordPress,Raquel,3,1,F,0.0,2.0,https://andynwof.wordpress.com/2021/09/17/wof-recap-september-17-2021/
2021-09-17,WordPress,Kionna,4,2,Unknown,0.0,2.0,https://andynwof.wordpress.com/2021/09/17/wof-recap-september-17-2021/
2021-09-17,WordPress,Jim,5,6750,M,0.0,2.0,https://andynwof.wordpress.com/2021/09/17/wof-recap-september-17-2021/
2021-09-17,WordPress,Raquel,6,1200,F,0.0,2.0,https://andynwof.wordpress.com/2021/09/17/wof-recap-september-17-2021/
2021-09-17,WordPress,Raquel,7,14534,F,0.0,2.0,https://andynwof.wordpress.com/2021/09/17/wof-recap-september-17-2021/
2021-09-17,WordPress,Kionna,8,2,Unknown,0.0,2.0,https://andynwof.wordpress.com/2021/09/17/wof-recap-september-17-2021/
2021-09-17,WordPress,Jim,9,6750,M,0.0,2.0,https://andynwof.wordpress.com/2021/09/17/wof-recap-september-17-2021/
2021-09-17,WordPress,Jim,10,1200,M,0.0,2.0,https://andynwof.wordpress.com/2021/09/17/wof-recap-september-17-2021/
2021-09-17,WordPress,Raquel,11,500,F,0.0,2.0,https://andynwof.wordpress.com/2021/09/17/wof-recap-september-17-2021/
2021-09-17,WordPress,Raquel,12,14534,F,0.0,2.0,https://andynwof.wordpress.com/2021/09/17/wof-recap-september-17-2021/
2021-09-17,WordPress,Kionna,13,4,Unknown,0.0,2.0,https://andynwof.wordpress.com/2021/09/17/wof-recap-september-17-2021/
2021-09-17,WordPress,Jim,14,17900,M,0.0,2.0,https://andynwof.wordpress.com/2021/09/17/wof-recap-september-17-2021/
2021-09-20,WordPress,Kathy,1,1650,F,1.0,0.0,https://andynwof.wordpress.com/2021/09/20/wof-recap-september-20-2021/
2021-09-20,WordPress,Kathy,2,1800,F,1.0,0.0,https://andynwof.wordpress.com/2021/09/20/wof-recap-september-20-2021/
2021-09-20,WordPress,Sal,3,3500,M,1.0,0.0,https://andynwof.wordpress.com/2021/09/20/wof-recap-september-20-2021/
2021-09-20,WordPress,Jacob,4,650,M,1.0,0.0,https://andynwof.wordpress.com/2021/09/20/wof-recap-september-20-2021/
2021-09-20,WordPress,Kathy,5,500,F,1.0,0.0,https://andynwof.wordpress.com/2021/09/20/wof-recap-september-20-2021/
2021-09-20,WordPress,Jacob,6,1,M,1.0,0.0,https://andynwof.wordpress.com/2021/09/20/wof-recap-september-20-2021/
2021-09-20,WordPress,Kathy,7,7150,F,1.0,0.0,https://andynwof.wordpress.com/2021/09/20/wof-recap-september-20-2021/
2021-09-20,WordPress,Jacob,8,1,M,1.0,0.0,https://andynwof.wordpress.com/2021/09/20/wof-recap-september-20-2021/
2021-09-20,WordPress,Jacob,9,16200,M,1.0,0.0,https://andynwof.wordpress.com/2021/09/20/wof-recap-september-20-2021/
2021-09-20,WordPress,Kathy,10,7150,F,1.0,0.0,https://andynwof.wordpress.com/2021/09/20/wof-recap-september-20-2021/
2021-09-20,WordPress,Sal,11,1,M,1.0,0.0,https://andynwof.wordpress.com/2021/09/20/wof-recap-september-20-2021/
2021-09-20,WordPress,Jacob,12,21900,M,1.0,0.0,https://andynwof.wordpress.com/2021/09/20/wof-recap-september-20-2021/
2021-09-20,WordPress,Kathy,13,11150,F,1.0,0.0,https://andynwof.wordpress.com/2021/09/20/wof-recap-september-20-2021/
2021-09-21,WordPress,Nicole,1,600,F,4.0,2.0,https://andynwof.wordpress.com/2021/09/21/wof-recap-september-21-2021/
2021-09-21,WordPress,Lionel,2,550,M,4.0,2.0,https://andynwof.wordpress.com/2021/09/21/wof-recap-september-21-2021/
2021-09-21,WordPress,Maria,3,600,F,4.0,2.0,https://andynwof.wordpress.com/2021/09/21/wof-recap-september-21-2021/
2021-09-21,WordPress,Maria,4,1400,F,4.0,2.0,https://andynwof.wordpress.com/2021/09/21/wof-recap-september-21-2021/
